model,token,lr,lambda,n_seeds,val_early_mean,val_early_std,test_early_mean,test_early_std,test_end_mean,test_tpr5_mean,test_leak_mean,best_epoch_mean
layer_mix,last,0.0003,0.01,3,0.8690764670112496,0.03808849462646952,0.7493390040758461,0.10680588594288651,0.9176043399472941,0.18681552365762893,0.9964912280701754,121.33333333333333
layer_mix,last,0.0003,0.1,3,0.8689662722543157,0.04260174543482127,0.7146770477840088,0.12967133158443628,0.9095925868761183,0.18681552365762893,0.9964912280701754,81.66666666666667
layer_mix,last,0.0001,0.001,3,0.8672554981250633,0.04502159590409892,0.7518569966787284,0.1063870450341783,0.9123435829717663,0.23402445507708666,0.9964912280701754,54.333333333333336
layer_mix,last,0.0001,0.01,3,0.8644761790142225,0.04718194939272473,0.7365240406326994,0.12556231424766537,0.9123600464177714,0.1675704412546518,0.9964912280701754,62.666666666666664
layer_mix,last,0.001,0.01,3,0.8616345731563123,0.0454489242356343,0.7255978003006865,0.1381823887795861,0.9050857185322381,0.28835725677830937,0.9964912280701754,46
layer_mix,last,0.0003,0.001,3,0.8601578282828283,0.053519122307175024,0.7683117536428232,0.09524975959178893,0.9134219386850966,0.2883572567783094,0.9964912280701754,71.33333333333333
layer_mix,mean,0.0001,0.1,3,0.8600339515556907,0.039247077788093845,0.6615655136537988,0.02659426807998852,0.8869713547472461,0.20329611908559275,0.9964912280701754,42.333333333333336
layer_mix,last,0.001,0.1,3,0.8598541645552515,0.03809139747672758,0.7599261431519496,0.10325041395298805,0.9143249129666786,0.2402977139819245,0.9964912280701754,166.66666666666666
layer_mix,last,0.001,0.001,3,0.8589955786966657,0.0481699365207609,0.7598989327342468,0.09689772952224708,0.9190451201317076,0.31259968102073366,0.9964912280701754,41.333333333333336
layer_mix,first,0.0001,0.01,3,0.8582522338772338,0.03241166736391524,0.7679029114003647,0.041270488494032746,0.8689521130947276,0.21127060074428497,0.9964912280701754,24
layer_mix,mean,0.001,0.01,3,0.8577561780007432,0.033944919427918295,0.7284489490261986,0.062153797518110704,0.9142846689875552,0.23838383838383836,0.9964912280701754,62
layer_mix,first,0.0003,0.01,3,0.8552499282118847,0.028628558122106722,0.7731913361115399,0.041542915558381965,0.8684488346967125,0.2591174906964381,0.9964912280701754,9.666666666666666
