model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
layer20_32,fixed horizon 25,catch_rate_at_least,0.25,True,0.15,0.24884764740595333,0.31761556450808326,0.4923254090906939,0.8312345899571465,0.16876541004285342
layer20_32,fixed horizon 25,catch_rate_at_least,0.5,True,0.3,0.4457568975349262,0.5734841785197787,0.4295120988074858,0.6484664149596812,0.35153358504031873
layer20_32,fixed horizon 25,catch_rate_at_least,0.75,False,0.3,0.4457568975349262,0.5734841785197787,0.4295120988074858,0.6484664149596812,0.35153358504031873
layer20_32,fixed horizon 37,realized_fpr_at_most,0.01,False,0.01,0.016146554068165356,0.05973073631683894,0.6267419270232284,0.96842949518336,0.031570504816639935
layer20_32,fixed horizon 37,realized_fpr_at_most,0.05,True,0.025,0.02982250596196636,0.09402709559709112,0.5991291696566089,0.9511676342523534,0.04883236574764671
layer20_32,fixed horizon 37,realized_fpr_at_most,0.1,True,0.05,0.06392767231034717,0.15003539620170867,0.5688318446371208,0.9238291163190272,0.07617088368097272
layer20_32,fixed horizon 37,catch_rate_at_least,0.25,True,0.1,0.14101537352096366,0.26643662169255433,0.5702476258903498,0.8752149368866119,0.12478506311338804
layer20_32,fixed horizon 37,catch_rate_at_least,0.5,True,0.3,0.4543856285519519,0.6289150881785103,0.46047733582494377,0.6392154741203351,0.360784525879665
layer20_32,fixed horizon 37,catch_rate_at_least,0.75,False,0.3,0.4543856285519519,0.6289150881785103,0.46047733582494377,0.6392154741203351,0.360784525879665
residual20_32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.02524060728054634,0.11069629118983297,0.5783390898899637,0.9543754745465746,0.045624525453425324
residual20_32,by earliest stop,realized_fpr_at_most,0.05,True,0.025,0.044307351408343465,0.17239357421221094,0.5889885161279942,0.9267471858702596,0.07325281412974047
residual20_32,by earliest stop,realized_fpr_at_most,0.1,True,0.05,0.07861557626444601,0.24698672410596995,0.5790201449880971,0.8899682021024754,0.1100317978975246
residual20_32,by earliest stop,catch_rate_at_least,0.25,True,0.075,0.12878693098392938,0.3394200587711901,0.6003698035739563,0.8565807979565969,0.14341920204340317
