model,split_id,heldout_tasks,pooled_minus_macro,pooled_minus_macro_ci_low,pooled_minus_macro_ci_high,prob_delta_le_zero,between_task_auc,between_task_auc_ci_low,between_task_auc_ci_high,between_pair_fraction,n_bootstrap
lstm,0,"0,3,5",0.1011840822000124,-0.006220981338689617,0.17416339311638895,0.133,0.8107266435986159,0.5183055752421452,0.8425118932335879,0.6968557098765432,10000
lstm,1,"5,7,8",0.1633586989672633,-0.0018111662335617562,0.26207625156550773,0.0548,0.8824240958025886,0.4711788329789747,0.9053965212742714,0.7481447963800905,10000
lstm,2,"6,8,9",0.06190522000679832,-0.00594995471014488,0.09156073637743169,0.1514,0.6735197368421053,0.49710088452960255,0.7528601144045762,0.6881720430107527,10000
mlp,0,"0,3,5",0.04065070115186986,-0.0870137410015081,0.18965574363270962,0.3238,0.7400692041522491,0.41787739192062373,0.9298059408715146,0.6968557098765432,10000
mlp,1,"5,7,8",0.1744986751254235,-0.0017665692007797773,0.29841986771553797,0.054,0.858654892947865,0.43180073234112926,0.8882903981264637,0.7481447963800905,10000
mlp,2,"6,8,9",0.04700091550837637,-0.019807260359981902,0.10440170661652774,0.2191,0.7066885964912281,0.6065358425502162,0.754552239683444,0.6881720430107527,10000
