variant,task,auc_mean,auc_sd_train_seed
baseline32,0,0.8006165055345384,0.010553358586325065
baseline32,1,0.6741078978521902,0.02536952471954823
baseline32,2,0.5804897631473304,0.02291756399227959
baseline32,3,0.7196848290598291,0.03320812256529798
baseline32,4,0.6658177702320317,0.027225411398165113
baseline32,5,0.5485471296952515,0.08166870547985848
baseline32,6,0.6242619431025228,0.01084966668314397
baseline32,7,0.821821821821822,0.029427469887013797
baseline32,8,0.6611842105263158,0.036071895064903506
baseline32,9,0.6364293981481483,0.03019639936951053
layer20_32,0,0.796553173602354,0.023313030052731516
layer20_32,1,0.6823947234906139,0.006234503159535535
layer20_32,2,0.6206342834203131,0.04253614559022871
layer20_32,3,0.6856303418803419,0.0680869748281182
layer20_32,4,0.6635540464063384,0.032470519804911065
layer20_32,5,0.5157098984171983,0.07641448550636247
layer20_32,6,0.6407675791733762,0.03272858552676039
layer20_32,7,0.8358358358358359,0.02761087998816097
layer20_32,8,0.6683114035087719,0.032010220563585524
layer20_32,9,0.5865162037037037,0.07102335566033273
residual20_32,0,0.8251366120218578,0.025976485171047316
residual20_32,1,0.6823947234906139,0.032315872022920696
residual20_32,2,0.572059413890004,0.01642985301459742
residual20_32,3,0.749866452991453,0.017446678514705438
residual20_32,4,0.6711941143180532,0.017604796775108275
residual20_32,5,0.5350815024805102,0.07414144198793489
residual20_32,6,0.6364734299516909,0.02240366196131488
residual20_32,7,0.8471328471328472,0.019515197608158962
residual20_32,8,0.6798245614035089,0.040920576659949796
residual20_32,9,0.6061921296296297,0.011354064906385141
shuffled20_32,0,0.7815608799215356,0.03519450750667854
shuffled20_32,1,0.6813800101471333,0.006975001057771482
shuffled20_32,2,0.6447209955841028,0.015671795500556546
shuffled20_32,3,0.7236912393162394,0.0424042771763921
shuffled20_32,4,0.6720430107526881,0.010189704346367193
shuffled20_32,5,0.5102763997165131,0.09854228119584765
shuffled20_32,6,0.6011808910359634,0.043463969540442855
shuffled20_32,7,0.8169598169598169,0.04805251659472572
shuffled20_32,8,0.6546052631578947,0.018421378965363375
shuffled20_32,9,0.6170428240740741,0.019143200123869355
shuffled_residual20_32,0,0.8129466162253047,0.019294690907992375
shuffled_residual20_32,1,0.6791814645695924,0.029758678218522065
shuffled_residual20_32,2,0.5786163522012578,0.020643549465108036
shuffled_residual20_32,3,0.7293002136752137,0.04621864978812021
shuffled_residual20_32,4,0.6594510469722694,0.02077774099803052
shuffled_residual20_32,5,0.553508150248051,0.07184309509553043
shuffled_residual20_32,6,0.6435856146001073,0.01912273638682888
shuffled_residual20_32,7,0.8398398398398399,0.010281103656810347
shuffled_residual20_32,8,0.6553362573099415,0.042446864094027544
shuffled_residual20_32,9,0.634548611111111,0.043601973454424944
