model,n_splits,mean_pooled_auc,mean_macro_auc,mean_within_micro_auc,mean_between_task_auc,mean_pooled_minus_macro,min_pooled_minus_macro,max_pooled_minus_macro,mean_between_pair_fraction
lstm,3,0.7550429169594168,0.6462269165680589,0.6681865898033076,0.7888901587477699,0.10881600039135801,0.06190522000679832,0.1633586989672633,0.7110575164224621
mlp,3,0.7469394824862768,0.6595560518910536,0.6876280999135215,0.7684708978637808,0.08738343059522324,0.04065070115186986,0.1744986751254235,0.7110575164224621
