model,loto_macro_auc,ci_low,ci_high,std_across_tasks,min_task_auc,max_task_auc,n_tasks
mlp,0.6720945319959939,0.5986614306549946,0.7379290990932957,0.11316773765429176,0.4131821403260099,0.8171500630517025,10
lstm,0.6517104515167393,0.5796849928337949,0.7304776643890831,0.12340032307102163,0.4762579730687455,0.8701134930643126,10
