model,split_id,heldout_tasks,pooled_auc,macro_auc,within_micro_auc,between_task_auc,pooled_minus_macro,n_tasks,n_rollouts,n_success,n_failure,n_within_pairs,n_between_pairs,between_pair_fraction
lstm,0,"0,3,5",0.7798514660493827,0.6786673838493703,0.7088768692332167,0.8107266435986159,0.1011840822000124,3,300,192,108,6286,14450,0.6968557098765432
lstm,1,"5,7,8",0.8383710407239819,0.6750123417567186,0.7075098814229249,0.8824240958025886,0.1633586989672633,3,300,170,130,5566,16534,0.7481447963800905
lstm,2,"6,8,9",0.6469062441048858,0.5850010240980875,0.588173018753781,0.6735197368421053,0.06190522000679832,3,300,114,186,6612,14592,0.6881720430107527
mlp,0,"0,3,5",0.7432002314814815,0.7025495303296116,0.7503977091950366,0.7400692041522491,0.04065070115186986,3,300,192,108,6286,14450,0.6968557098765432
mlp,1,"5,7,8",0.811945701357466,0.6374470262320425,0.673194394538268,0.858654892947865,0.1744986751254235,3,300,170,130,5566,16534,0.7481447963800905
mlp,2,"6,8,9",0.685672514619883,0.6386715991115066,0.6392921960072595,0.7066885964912281,0.04700091550837637,3,300,114,186,6612,14592,0.6881720430107527
