,L1,L4,L8,L12,L16,L20,L24,L28,L32
L1,1.0,0.9830431342124939,0.8300191164016724,0.5403323769569397,0.524322509765625,0.5356068015098572,0.5000256299972534,0.4806460738182068,0.44749483466148376
L4,0.9830431342124939,1.0,0.8856127858161926,0.5996991991996765,0.579259991645813,0.5908339023590088,0.5566492676734924,0.5331763625144958,0.4947899580001831
L8,0.8300191164016724,0.8856127858161926,1.0,0.827548623085022,0.783939003944397,0.8030211329460144,0.7919638156890869,0.7640816569328308,0.7203736901283264
L12,0.5403323769569397,0.5996991991996765,0.827548623085022,1.0,0.9714614748954773,0.956203818321228,0.9256923198699951,0.8892000913619995,0.8495302796363831
L16,0.524322509765625,0.579259991645813,0.783939003944397,0.9714614748954773,1.0,0.9795323610305786,0.9206562638282776,0.8835005164146423,0.8446919322013855
L20,0.5356068015098572,0.5908339023590088,0.8030211329460144,0.956203818321228,0.9795323610305786,1.0,0.9618892669677734,0.9330307245254517,0.896691083908081
L24,0.5000256299972534,0.5566492676734924,0.7919638156890869,0.9256923198699951,0.9206562638282776,0.9618892669677734,1.0,0.989380419254303,0.9597915410995483
L28,0.4806460738182068,0.5331763625144958,0.7640816569328308,0.8892000913619995,0.8835005164146423,0.9330307245254517,0.989380419254303,1.0,0.9802440404891968
L32,0.44749483466148376,0.4947899580001831,0.7203736901283264,0.8495302796363831,0.8446919322013855,0.896691083908081,0.9597915410995483,0.9802440404891968,1.0
