comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.075,0.075,10,0.038979565194091736,0.004140986767098676,0.07715062224132065,7,0.04971245620505256,0.017342491855676444,0.086023141762452,8,0.029822099575880508,0.010876751097178684,0.04704733351875755,8,0.024390243902439025
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.1,0.1,10,0.05111779905492244,0.011882583099090455,0.1009574046780573,8,0.061103190116171865,0.026132511729874807,0.10401733153031327,8,0.03869774409408485,0.020748502264019475,0.05490048480545819,8,0.012682926829268294
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.15,0.15,10,0.03969963497764788,-0.0033835030329148097,0.1050568165494636,7,0.06588966302647845,0.022427127614891306,0.11972908975659222,9,0.04072019975276771,0.0224143243571619,0.06072636382486116,10,0.018536585365853658
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.2,0.2,10,0.04293203894782087,-0.023367047769702002,0.13162527251164263,6,0.06409200319626283,0.004372125207449776,0.1369406209150325,8,0.043180500515636405,0.014796993038225384,0.07347840703177821,8,0.09073170731707317
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.3,0.3,10,0.04917983220748641,-0.04073685779498287,0.17507232954545449,6,0.07425799202300216,0.0035551431232541627,0.16614614125535263,8,0.04951325916364454,0.008303968856926235,0.09414995267072346,8,0.09268292682926829
independent FPR <= 0.05 operating points,late24_28_32,baseline32,fixed horizon 25,0.01,0.025,10,-0.007805589759355895,-0.03499488804277183,0.015685058313976,4,-0.0037206998996045628,-0.03516167824287499,0.020955510480054094,5,-0.0039026999815600172,-0.023916157754010688,0.012521198501239585,5,0.8751219512195122
same nominal alpha,late24_28_32,baseline32,fixed horizon 37,0.01,0.01,10,0.011976610644257705,-0.014642436974789919,0.0420635912698412,4,0.00958824861187944,-0.01923499702911468,0.03599665314401622,6,0.009023841202441601,-0.0045427551950346125,0.023975666538749687,6,0.5317073170731708
same nominal alpha,late24_28_32,baseline32,fixed horizon 37,0.025,0.025,10,0.010958564876857563,-0.017817472974180286,0.04132806668602391,5,0.016851434220501154,-0.016903694654455313,0.04948788011965484,5,0.008242003583889988,-0.008383947801987878,0.02431898492628715,6,0.38341463414634147
same nominal alpha,late24_28_32,baseline32,fixed horizon 37,0.05,0.05,10,0.017249533059002214,-0.020315219596281284,0.06001347168135542,5,0.031398958141250224,-0.004620023767082584,0.07155996619337388,6,0.013722786745809054,-0.005497153972153978,0.03179143701418548,7,0.1648780487804878
same nominal alpha,late24_28_32,baseline32,fixed horizon 37,0.075,0.075,10,0.028159218296449285,-0.006014302137365273,0.0678675623135431,6,0.04207402626672403,0.0042882534779847235,0.089656286367734,6,0.022564544048012596,0.003789059181807649,0.04109574801728704,7,0.09073170731707317
same nominal alpha,late24_28_32,baseline32,fixed horizon 37,0.1,0.1,10,0.04418477664930319,0.002974211271651187,0.09604504898347703,6,0.05710844448542217,0.019911892761284238,0.10758961099330008,8,0.029421444254507136,0.010598407246911296,0.04923696126884762,8,0.00878048780487805
same nominal alpha,late24_28_32,baseline32,fixed horizon 37,0.15,0.15,10,0.050784840546031364,0.0028357811632811606,0.13160675305087072,6,0.07044917293284433,0.02073542668059907,0.13656523391453407,9,0.03404122015247775,0.012521257519736206,0.05707706923685621,8,0.016585365853658537
same nominal alpha,late24_28_32,baseline32,fixed horizon 37,0.2,0.2,10,0.07474154818161273,0.011144021782955591,0.175157132555791,7,0.08107907130807737,0.021812992876704847,0.15892283650398498,7,0.0511720302544846,0.025363418317589214,0.08391481772224925,10,0.024390243902439025
