comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,layer20_32,baseline32,fixed horizon 25,0.075,0.075,10,0.03457149183878581,-0.0028917817427830655,0.07793844921696526,5,0.009249853697500579,-0.03792635913235491,0.05793725006152163,5,-0.00800535127969745,-0.04193928989169591,0.030042100588673654,3,0.728780487804878
same nominal alpha,layer20_32,baseline32,fixed horizon 25,0.1,0.1,10,0.038850201612186816,-0.0042713862035461195,0.08779578718737961,5,0.003042737445571478,-0.042375663077524044,0.04838643138653199,6,-0.012279708428761206,-0.04862624060071624,0.024435117029657387,3,0.8790243902439024
same nominal alpha,layer20_32,baseline32,fixed horizon 25,0.15,0.15,10,0.08201423636992314,0.010194100274414723,0.1619053778243613,6,0.02845034050474201,-0.0357424580568719,0.09994210078499018,5,0.0058536788920273515,-0.023059815788259275,0.04089131620639038,6,0.4653658536585366
same nominal alpha,layer20_32,baseline32,fixed horizon 25,0.2,0.2,10,0.08340888264402513,0.004209559560194928,0.17421673627797374,7,0.045209152699946686,-0.019282056910280156,0.12171255528832575,4,0.0227460431615433,-0.00910654314447037,0.06163788087698197,6,0.3678048780487805
same nominal alpha,layer20_32,baseline32,fixed horizon 25,0.3,0.3,10,0.038333901689497775,-0.02056701830879365,0.10345049775969548,8,0.03349893941729981,-0.013280930137171394,0.08735132942179596,7,0.021225058966272463,-0.011652079258153316,0.06134847988697018,5,0.26439024390243904
independent FPR <= 0.05 operating points,layer20_32,baseline32,fixed horizon 25,0.025,0.025,10,0.005176457219330133,-0.010766078128626821,0.028325474643344662,4,-0.0015267521085865674,-0.03818705686482684,0.03866088664891112,3,-0.004051726559499862,-0.03257198072042721,0.031121389950323364,3,0.9180487804878049
same nominal alpha,layer20_32,baseline32,fixed horizon 37,0.01,0.01,10,0.0009675057106938171,-0.011522695195408465,0.018517486660367923,3,0.008027631432124292,-0.019878439149481893,0.04172232842001988,4,0.0005500974993585255,-0.020280822199171836,0.029644907359645263,3,0.713170731707317
same nominal alpha,layer20_32,baseline32,fixed horizon 37,0.025,0.025,10,0.0038049563181494473,-0.009076678956256239,0.02183717763960405,4,0.009245779874934737,-0.02368878826122761,0.0455792515119359,4,-0.002923851867524919,-0.02624813252955626,0.028376586076701484,2,0.6565853658536586
same nominal alpha,layer20_32,baseline32,fixed horizon 37,0.05,0.05,10,0.01779089295994225,-0.002228399580020223,0.04185780962948705,7,0.013174120192598403,-0.035102445465577746,0.06275266507594648,6,-0.00736103839103449,-0.03816564958434595,0.025738680641689216,3,0.646829268292683
same nominal alpha,layer20_32,baseline32,fixed horizon 37,0.075,0.075,10,0.03258198864411729,-0.007794643687302286,0.08858660154896511,6,0.023159495157957715,-0.03746598279190914,0.09708557922206822,5,-0.0028785317349628026,-0.036310082177171396,0.03122101580979057,4,0.6273170731707317
same nominal alpha,layer20_32,baseline32,fixed horizon 37,0.1,0.1,10,0.03931529735517997,-0.009892224488126586,0.10623344950216262,6,0.020176228298618266,-0.042494282135498974,0.09506752760502701,5,-0.005338332247638281,-0.047945680987679956,0.035782730242896355,3,0.6663414634146342
same nominal alpha,layer20_32,baseline32,fixed horizon 37,0.15,0.15,10,0.07110969300493915,-0.00024322075040573364,0.1572545739185119,5,0.03499742379421666,-0.019350588971445048,0.09575030191210814,6,0.01701449830689205,-0.015315576257898799,0.05397182963218968,6,0.3307317073170732
same nominal alpha,layer20_32,baseline32,fixed horizon 37,0.2,0.2,10,0.07991444187667558,-0.005882666856601528,0.17995768408673254,6,0.03516888022996486,-0.03618364899825965,0.12166000554104109,4,0.02887922548592021,-0.013679575560725118,0.08019066951518909,4,0.5004878048780488
same nominal alpha,layer20_32,baseline32,fixed horizon 37,0.3,0.3,10,0.03365707180767463,-0.03713064463371023,0.12247661673541271,4,0.0017876606506233405,-0.05849695880340567,0.07927743677524965,3,0.025321228724486798,-0.010399431449316775,0.07286304951412115,4,0.9785365853658536
independent FPR <= 0.05 operating points,layer20_32,baseline32,fixed horizon 37,0.025,0.05,10,-0.01631427338843856,-0.03296850630448541,-0.00210438533197705,2,-0.04283418041201914,-0.08771520175150817,-0.0032987936030066983,3,-0.03469955632436049,-0.06571612271449319,-0.006376323368809215,2,0.09073170731707317
same nominal alpha,shuffled20_32,baseline32,by earliest stop,0.01,0.01,10,0.010755952158389051,-0.008840724861045758,0.04327602451515715,3,-0.0027896135652776682,-0.03427718198194398,0.034772647250623685,4,-0.00017562296721478874,-0.01440185178994472,0.018242808870260453,3,0.8770731707317073
same nominal alpha,shuffled20_32,baseline32,by earliest stop,0.025,0.025,10,0.009004615061167329,-0.014809209290721699,0.046142269105239574,3,-0.009959827638460829,-0.0511395707989043,0.03714466223709041,4,-0.0027222192357411064,-0.022033379050559427,0.02106143640890021,4,0.7248780487804878
same nominal alpha,shuffled20_32,baseline32,by earliest stop,0.05,0.05,10,0.01108136108065389,-0.022634679398959356,0.05906344600155542,5,-0.022209404798030987,-0.07611632206301325,0.0327979351681336,4,-0.0064377313462190625,-0.031407997692877304,0.021529497751196277,4,0.4634146341463415
same nominal alpha,shuffled20_32,baseline32,by earliest stop,0.075,0.075,10,0.013652736968387962,-0.027441967502205452,0.06600550616312055,5,-0.03232821715954788,-0.09391995517014791,0.02626705439090646,4,-0.006762522318905109,-0.03442023399431658,0.02441600105375681,4,0.34243902439024393
same nominal alpha,shuffled20_32,baseline32,by earliest stop,0.1,0.1,10,0.017923079985812516,-0.031208912212553303,0.08642554005281512,4,-0.02902219156569607,-0.0955318141004717,0.03797436204540308,4,-0.006925783765489449,-0.042760823674635615,0.03550899405705922,3,0.44390243902439025
same nominal alpha,shuffled20_32,baseline32,by earliest stop,0.15,0.15,10,0.010010589305169081,-0.03370058220039101,0.05765280561805066,4,-0.026829567365598373,-0.08138512547892664,0.024213139363327935,4,-0.012390754042953978,-0.043099402954456106,0.020131056394457725,3,0.375609756097561
same nominal alpha,shuffled20_32,baseline32,by earliest stop,0.2,0.2,10,-0.004029678582942606,-0.04546823606806597,0.04158559820076259,3,-0.02941612774683704,-0.07664848732457372,0.01580258697659467,3,-0.010189782831679095,-0.045167264204481826,0.027103671153932765,3,0.27219512195121953
same nominal alpha,shuffled20_32,baseline32,by earliest stop,0.3,0.3,10,-0.022722756909442844,-0.0725072968331494,0.030065688655366258,3,-0.031194336610856792,-0.08213122975308065,0.01976745016943643,4,-0.01777193481571024,-0.0569796559056175,0.022736934671141473,4,0.28780487804878047
independent FPR <= 0.05 operating points,shuffled20_32,baseline32,by earliest stop,0.025,0.025,10,0.009004615061167329,-0.014809209290721699,0.046142269105239574,3,-0.009959827638460829,-0.0511395707989043,0.03714466223709041,4,-0.0027222192357411064,-0.022033379050559427,0.02106143640890021,4,0.7248780487804878
same nominal alpha,shuffled20_32,baseline32,fixed horizon 13,0.01,0.01,10,-0.005335329927798171,-0.01767022102342565,0.004510119731430503,5,-0.015376023607167194,-0.04252003205128206,0.005579650381317729,4,-0.010711048796768052,-0.027241476593770592,0.002255518369094796,4,0.45365853658536587
same nominal alpha,shuffled20_32,baseline32,fixed horizon 13,0.025,0.025,10,-0.007417316844804828,-0.02307690427390739,0.005697554735069653,5,-0.019164551057281837,-0.05502821846297189,0.009348592020199904,4,-0.015837789919847783,-0.04034439582519139,0.0029053704888325057,3,0.4146341463414634
same nominal alpha,shuffled20_32,baseline32,fixed horizon 13,0.05,0.05,10,-0.011217807427172623,-0.030797296976606783,0.006706496040779162,5,-0.020070188585493722,-0.06170720757128464,0.011685235967009319,4,-0.019472719471881346,-0.05295059572977923,0.006123796534010501,4,0.4224390243902439
same nominal alpha,shuffled20_32,baseline32,fixed horizon 13,0.075,0.075,10,-0.014214731991667284,-0.03814403713589747,0.007151882101919724,5,-0.02059256548164292,-0.06510244370323476,0.013041873438055766,4,-0.013943722116020435,-0.050682466455378335,0.015882775195242088,5,0.455609756097561
same nominal alpha,shuffled20_32,baseline32,fixed horizon 13,0.1,0.1,10,-0.011552211023568066,-0.03980201000287259,0.016154690960840722,5,-0.015797416425801642,-0.058312945579383234,0.02039686394072972,5,-0.011685439478370344,-0.04798410901183782,0.020020606114280883,5,0.5395121951219513
same nominal alpha,shuffled20_32,baseline32,fixed horizon 13,0.15,0.15,10,-0.0071260864057456855,-0.04329079703551407,0.02966834296797876,5,-0.00883846300513103,-0.052726831034342066,0.03663003393369595,4,-0.0061149433838173116,-0.04596994274492784,0.03535244163359752,3,0.6878048780487804
same nominal alpha,shuffled20_32,baseline32,fixed horizon 13,0.2,0.2,10,-0.007667809715172261,-0.050099888433045726,0.03348641127360755,5,-0.01056149020387685,-0.052983833752167975,0.031695301119719195,5,-0.00835211767016344,-0.04929216931232488,0.0338347795124108,4,0.6429268292682927
same nominal alpha,shuffled20_32,baseline32,fixed horizon 13,0.3,0.3,10,-0.004542537417264336,-0.05223358387016978,0.04005063474162047,6,-0.013776661327646423,-0.07290090572815718,0.0417463699345667,5,-0.014337383936665902,-0.06095019129191693,0.029934217063199348,5,0.6682926829268293
