model,cp_seed,alpha,eval_time,roc_auc_max_score_macro,realized_fpr_macro,catch_rate_macro,balanced_accuracy_macro,caught_alarm_fraction_macro,effective_alarm_fraction_macro,caught_lead_fraction_macro,effective_lead_fraction_macro
lstm,0,0.01,by earliest stop,0.6517104515167393,0.04024822695035461,0.06686432525553637,0.5133080491525909,0.27204929409822715,0.9497099672503178,0.7279507059017729,0.05029003274968229
lstm,1,0.01,by earliest stop,0.6517104515167393,0.04042553191489361,0.05931822701931937,0.5094463475522129,0.48501541697797335,0.962899714759158,0.5149845830220267,0.037100285240842065
lstm,2,0.01,by earliest stop,0.6517104515167393,0.06347517730496453,0.08936222791253703,0.5129435253037863,0.5053260025154943,0.9511812032774623,0.49467399748450563,0.048818796722537694
lstm,3,0.01,by earliest stop,0.6517104515167393,0.048758865248226944,0.07722197960519628,0.5142315571784846,0.44344399390757233,0.9585121998198722,0.5565560060924276,0.04148780018012764
lstm,4,0.01,by earliest stop,0.6517104515167393,0.012188989652366002,0.0473137611295506,0.5175623857385923,0.4374561049074255,0.9769280015753379,0.5625438950925745,0.023071998424662
lstm,5,0.01,by earliest stop,0.6517104515167393,0.043203309692671395,0.06457308262639692,0.5106848864668627,0.16904472057385356,0.9543378676605846,0.8309552794261463,0.04566213233941537
lstm,6,0.01,by earliest stop,0.6517104515167393,0.05514184397163121,0.08561849532864925,0.515238325678509,0.3007377881551439,0.9376631359405325,0.699262211844856,0.062336864059467444
lstm,7,0.01,by earliest stop,0.6517104515167393,0.04029255319148936,0.1095226078142538,0.5346150273113822,0.5539796262618288,0.9420148392877733,0.44602037373817116,0.05798516071222672
lstm,8,0.01,by earliest stop,0.6517104515167393,0.018483315893500756,0.03737655925155925,0.5094466216790292,0.12149112609470664,0.9683772606710586,0.8785088739052933,0.031622739328941385
lstm,9,0.01,by earliest stop,0.6517104515167393,0.016666666666666666,0.0487336780099938,0.5160335056716636,0.43216045103032935,0.9728002267792778,0.5678395489696706,0.027199773220722236
lstm,0,0.025,by earliest stop,0.6517104515167393,0.05304300856489556,0.10295148842805169,0.5249542399315781,0.3041371184262272,0.9292611284652945,0.6958628815737729,0.07073887153470548
lstm,1,0.025,by earliest stop,0.6517104515167393,0.07145317404952913,0.16860780840423345,0.5485773171773521,0.4820188568932996,0.8977329174598745,0.5179811431067004,0.10226708254012544
lstm,2,0.025,by earliest stop,0.6517104515167393,0.09785756501182033,0.16227775741161876,0.5322100961998992,0.48856454519809056,0.9098430696317653,0.5114354548019094,0.09015693036823466
lstm,3,0.025,by earliest stop,0.6517104515167393,0.08457446808510638,0.16516377150126388,0.5402946517080787,0.536998904071965,0.8979497308780916,0.4630010959280349,0.10205026912190847
lstm,4,0.025,by earliest stop,0.6517104515167393,0.03504510134480487,0.1288714103044536,0.5469131544798244,0.6614912758803123,0.9466554342817851,0.3385087241196877,0.05334456571821493
lstm,5,0.025,by earliest stop,0.6517104515167393,0.0825607613588523,0.12355077988767164,0.5204950092644097,0.395039926410456,0.9121302151098535,0.6049600735895441,0.08786978489014662
lstm,6,0.025,by earliest stop,0.6517104515167393,0.06708037825059102,0.14259709578486207,0.5377583587671355,0.4283492751935765,0.9120813970633537,0.5716507248064235,0.08791860293664641
lstm,7,0.025,by earliest stop,0.6517104515167393,0.0739139034921222,0.18715640292725694,0.5566212497175674,0.5655178863069369,0.9103199243885062,0.43448211369306305,0.08968007561149378
lstm,8,0.025,by earliest stop,0.6517104515167393,0.029933534860287565,0.08268747966328611,0.5263769724014993,0.5027515459539168,0.9510397356188399,0.49724845404608325,0.04896026438116009
lstm,9,0.025,by earliest stop,0.6517104515167393,0.03268321513002364,0.09651750054710581,0.5319171427085411,0.4509623566253197,0.9492072692635869,0.5490376433746803,0.05079273073641303
lstm,0,0.05,by earliest stop,0.6517104515167393,0.13136820330969268,0.23280396763184585,0.5507178821610765,0.4188768108636583,0.8659047282352809,0.5811231891363416,0.13409527176471916
lstm,1,0.05,by earliest stop,0.6517104515167393,0.09971511866532626,0.2135123571025383,0.5568986192186061,0.5273646059214349,0.8998461711055711,0.4726353940785652,0.10015382889442889
lstm,2,0.05,by earliest stop,0.6517104515167393,0.1311080766502821,0.22170672701613375,0.5452993251829258,0.567931570571362,0.9034072553010619,0.43206842942863793,0.09659274469893811
lstm,3,0.05,by earliest stop,0.6517104515167393,0.125311112334959,0.25817061861235596,0.5664297531386985,0.7308973741758595,0.8994451726101282,0.26910262582414046,0.1005548273898719
lstm,4,0.05,by earliest stop,0.6517104515167393,0.058376932914777344,0.1586810506845564,0.5501520588848895,0.6472630830448752,0.9328328722352536,0.35273691695512477,0.06716712776474644
lstm,5,0.05,by earliest stop,0.6517104515167393,0.11840518836346417,0.26445691380212233,0.5730258627193291,0.6399012008611623,0.9017667007823157,0.36009879913883774,0.09823329921768435
lstm,6,0.05,by earliest stop,0.6517104515167393,0.08415577938001262,0.2066221574087881,0.5612331890143877,0.5475432706578206,0.8978148261718315,0.4524567293421794,0.10218517382816841
lstm,7,0.05,by earliest stop,0.6517104515167393,0.11795868510666314,0.32837920693939593,0.6052102609163664,0.6906351805536042,0.8745980425687027,0.30936481944639577,0.1254019574312973
lstm,8,0.05,by earliest stop,0.6517104515167393,0.09221117699492307,0.18581209542754934,0.5468004592163132,0.5697559748447876,0.9406417669770104,0.43024402515521243,0.05935823302298963
lstm,9,0.05,by earliest stop,0.6517104515167393,0.07149252316949448,0.19819311638680834,0.5633502966086569,0.664207055053262,0.9404226624692307,0.3357929449467379,0.0595773375307694
lstm,0,0.075,by earliest stop,0.6517104515167393,0.1703548163137025,0.299036052449457,0.5643406180678772,0.501797357444899,0.8416654757234683,0.498202642555101,0.15833452427653177
